ds,y
2023-02-04,294088
2023-02-05,399654
2023-02-06,741726
2023-02-07,493355
2023-02-08,380381
2023-02-09,322992
2023-02-10,286076
2023-02-11,260865
2023-02-12,229763
2023-02-13,259478
2023-02-14,227753
2023-02-15,368045
2023-02-16,349506
2023-02-17,202329
2023-02-18,195588
2023-02-19,183164
2023-02-20,302295
2023-02-21,206622
2023-02-22,157592
2023-02-23,178290
2023-02-24,157244
2023-02-25,247930
2023-02-26,291859
2023-02-27,343433
2023-02-28,303115
2023-03-01,208031
